Timestamp(ms),Current(uA),D0-D7
2730,14221.290,11111111
2740,13656.716,11111111
2750,13464.766,11111111
2760,13378.525,11111111
2770,13331.587,11111111
2780,13319.881,11111111
2790,13317.150,11111111
2800,13331.913,11111111
2810,13335.772,11111111
2820,13340.264,11111111
2830,13407.250,11111111
2840,13354.521,11111111
2850,13347.736,11111111
2860,13388.217,11111111
2870,13343.110,11111111
2880,13331.795,11111111
2890,13323.338,11111111
2900,13322.895,11111111
2910,13344.539,11111111
2920,13338.416,11111111
2930,13599.110,11111111
2940,14516.990,11111111
2950,14852.635,11111111
2960,15018.565,11111111
2970,15039.012,11111111
2980,15053.989,11111111
2990,15064.094,11111111
3000,15068.191,11111111
3010,15063.623,11111111
3020,15075.368,11111111
3030,15065.761,11111111
3040,15059.984,11111111
3050,15067.970,11111111
3060,15101.607,11111111
3070,15092.433,11111111
3080,15131.958,11111111
3090,15084.952,11111111
3100,15076.338,11111111
3110,15067.294,11111111
3120,15068.001,11111111
3130,14482.053,11111111
3140,14876.520,11111111
3150,15009.964,11111111
3160,15064.835,11111111
3170,15072.212,11111111
3180,15085.415,11111111
3190,15119.099,11111111
3200,15291.421,11111111
3210,15194.363,11111111
3220,15125.277,11111111
3230,15116.181,11111111
3240,15107.444,11111111
3250,15108.020,11111111
3260,15111.683,11111111
3270,15104.713,11111111
3280,15078.146,11111111
3290,15091.846,11111111
3300,15087.887,11111111
3310,15100.444,11111111
3320,15105.036,11111111
3330,14558.997,11111111
3340,14885.423,11111111
3350,15005.155,11111111
3360,15035.931,11111111
3370,15057.313,11111111
3380,15059.264,11111111
3390,15052.417,11111111
3400,15056.203,11111111
3410,15069.795,11111111
3420,15082.870,11111111
3430,15092.236,11111111
3440,15076.354,11111111
3450,15080.313,11111111
3460,15126.509,11111111
3470,15097.979,11111111
3480,15164.729,11111111
3490,13628.247,11111111
3500,13061.284,11111111
3510,12872.553,11111111
3520,12786.181,11111111
3530,12179.467,11111111
3540,12535.355,11111111
3550,12658.646,11111111
3560,12726.834,11111111
3570,12735.629,11111111
3580,12780.189,11111111
3590,12769.659,11111111
3600,12773.426,11111111
3610,12754.438,11111111
3620,12737.140,11111111
3630,12736.529,11111111
3640,12741.966,11111111
3650,12740.318,11111111
3660,12738.731,11111111
3670,12722.435,11111111
3680,12725.875,11111111
3690,12751.408,11111111
3700,12732.682,11111111
3710,12777.814,11111111
3720,12765.899,11111111
3730,12132.799,11111111
3740,12498.872,11111111
3750,12623.013,11111111
3760,12682.392,11111111
3770,12713.963,11111111
3780,12722.938,11111111
3790,12708.631,11111111
3800,12722.409,11111111
3810,12728.554,11111111
3820,12743.945,11111111
3830,12789.226,11111111
3840,12755.787,11111111
3850,12721.854,11111111
3860,12718.369,11111111
3870,12721.200,11111111
3880,12716.011,11111111
3890,12715.390,11111111
3900,12719.078,11111111
3910,12725.530,11111111
3920,12718.476,11111111
3930,11921.844,11111111
3940,11342.824,11111111
3950,11127.717,11111111
3960,11080.075,11111111
3970,11019.088,11111111
3980,11005.770,11111111
3990,10994.356,11111111
4000,10998.251,11111111
4010,10975.835,11111111
4020,10972.376,11111111
4030,10998.978,11111111
4040,10984.648,11111111
4050,10994.449,11111111
4060,10978.826,11111111
4070,10987.304,11111111
4080,11114.911,11111111
4090,11061.630,11111111
4100,11025.052,11111111
4110,11011.240,11111111
4120,11006.363,11111111
4130,11227.648,11111111
4140,12178.557,11111111
4150,12540.633,11111111
4160,12659.433,11111111
4170,12710.346,11111111
4180,12732.963,11111111
4190,12765.027,11111111
4200,12951.207,11111111
4210,12834.995,11111111
4220,12773.587,11111111
4230,12754.254,11111111
4240,12722.625,11111111
4250,12731.588,11111111
4260,12739.627,11111111
4270,12712.489,11111111
4280,12738.339,11111111
4290,12729.784,11111111
4300,12738.298,11111111
4310,12745.085,11111111
4320,12731.985,11111111
4330,12205.861,11111111
4340,12527.827,11111111
4350,12643.349,11111111
4360,12712.639,11111111
4370,12721.367,11111111
