Timestamp(ms),Current(uA)
4100,12737.929
4110,12720.712
4120,12755.155
4130,12771.472
4140,12727.262
4150,12851.751
4160,14251.028
4170,14791.918
4180,14966.513
4190,15034.788
4200,14897.047
4210,14683.039
4220,14917.567
4230,15019.566
4240,15081.257
4250,15056.760
4260,15057.641
4270,15034.788
4280,15042.448
4290,15048.444
4300,15075.867
4310,15071.968
4320,15062.392
4330,15073.481
4340,15046.143
4350,15070.824
4360,15054.551
4370,15091.584
4380,15067.051
4390,15069.894
4400,14961.985
4410,14248.395
4420,13986.226
4430,13624.604
4440,13469.768
4450,13424.420
4460,13383.446
4470,13393.795
4480,13397.787
4490,13424.274
4500,13415.904
4510,13405.628
4520,13397.849
4530,13395.082
4540,13408.727
4550,13394.915
4560,13394.555
4570,13395.310
4580,13396.516
4590,13394.952
4600,13388.763
4610,13398.221
4620,13445.799
4630,14046.365
4640,14440.902
4650,13768.292
4660,13521.286
4670,13425.427
4680,13388.906
4690,13372.257
4700,13389.414
4710,13397.223
4720,13390.096
4730,13388.684
4740,13448.117
4750,13422.373
4760,13392.745
4770,13394.396
4780,13378.003
4790,13385.433
4800,13381.184
4810,13395.750
4820,13393.748
4830,13404.555
4840,13404.023
4850,14038.334
4860,14480.774
4870,14031.881
4880,13625.436
4890,13477.350
4900,13418.729
4910,13387.541
4920,13380.718
4930,13385.889
4940,13379.520
4950,13390.082
4960,13378.945
4970,13378.609
4980,13382.377
4990,13425.128
5000,13410.210
5010,13404.296
5020,13411.488
5030,13402.400
5040,13397.675
5050,13387.444
5060,13389.606
5070,14029.584
5080,14444.058
5090,13775.893
5100,13529.925
5110,13449.280
5120,13454.335
5130,13429.176
5140,13396.451
5150,13530.008
5160,12002.564
5170,11386.925
5180,11161.040
5190,11089.243
5200,11060.678
5210,11038.528
5220,11044.555
5230,11059.536
5240,11086.713
5250,11081.592
5260,11042.070
5270,11042.888
5280,11016.221
5290,11672.191
5300,12082.246
5310,11429.873
5320,11191.261
5330,11106.475
5340,11067.925
5350,11116.530
5360,11071.484
5370,11102.365
5380,11048.027
5390,11048.929
5400,11037.420
5410,11048.167
5420,11026.779
5430,11034.705
5440,11024.231
5450,11024.999
5460,11030.469
5470,11039.987
5480,11061.142
5490,11088.629
5500,11086.053
5510,11689.538
5520,12088.371
5530,11330.843
5540,11124.053
5550,11041.492
5560,11028.430
5570,11007.992
5580,11004.837
5590,11002.590
5600,11016.323
5610,11022.812
5620,11054.207
5630,11033.032
5640,11023.489
5650,11005.593
5660,11028.733
5670,11016.919
5680,11015.640
5690,11011.212
5700,11018.334
5710,11018.815
5720,11007.453
5730,11393.167
5740,12267.338
5750,12582.180
5760,12705.418
5770,12722.954
5780,12708.116
5790,12713.073
5800,12689.424
5810,12713.864
5820,12704.848
5830,12694.804
5840,12704.927
5850,12693.928
5860,12719.212
5870,12945.361
5880,12824.243
5890,12759.952
5900,12731.447
5910,12731.026
5920,12710.114
5930,12170.039
5940,12511.576
5950,12640.687
5960,12688.959
5970,12705.955
5980,12722.589
5990,12753.431
6000,12732.525
6010,12720.103
6020,12728.931
6030,12710.807
